"행정구역별(읍면동)","연령별",2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
"행정구역별(읍면동)","연령별",총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비
"광주광역시","50~54세",117496,59081,58415,101.1,116176,58467,57709,101.3,117447,59303,58144,102,116006,58621,57385,102.2,118620,59695,58925,101.3,117057,58950,58107,101.5,121016,60588,60428,100.3,119357,59776,59581,100.3,124598,62354,62244,100.2,122797,61422,61375,100.1,126078,63089,62989,100.2,124416,62290,62126,100.3,128776,64241,64535,99.5,127076,63402,63674,99.6
"광주광역시","55~59세",104589,51584,53005,97.3,103710,51147,52563,97.3,111120,54780,56340,97.2,110190,54325,55865,97.2,112903,55781,57122,97.7,111863,55259,56604,97.6,115081,57147,57934,98.6,113988,56624,57364,98.7,114111,56861,57250,99.3,112832,56240,56592,99.4,111673,55684,55989,99.5,110423,55115,55308,99.7,111082,55676,55406,100.5,109813,55111,54702,100.7
"광주광역시","60~64세",70853,34236,36617,93.5,70364,33990,36374,93.4,75538,36728,38810,94.6,74989,36450,38539,94.6,79969,38949,41020,95,79317,38624,40693,94.9,85764,41772,43992,95,85074,41426,43648,94.9,92620,45158,47462,95.1,91893,44794,47099,95.1,98575,48116,50459,95.4,97836,47765,50071,95.4,104581,50920,53661,94.9,103831,50563,53268,94.9
"광주광역시","65~69세",57375,27276,30099,90.6,57162,27172,29990,90.6,59291,28020,31271,89.6,59030,27903,31127,89.6,60530,28669,31861,90,60235,28534,31701,90,60852,28732,32120,89.5,60567,28609,31958,89.5,61784,29249,32535,89.9,61437,29100,32337,90,66517,31439,35078,89.6,66157,31285,34872,89.7,70586,33561,37025,90.6,70186,33390,36796,90.7
"광주광역시","70~74세",45099,20395,24704,82.6,45007,20356,24651,82.6,45355,20774,24581,84.5,45256,20733,24523,84.5,45550,20888,24662,84.7,45436,20841,24595,84.7,47800,21911,25889,84.6,47683,21862,25821,84.7,51048,23388,27660,84.6,50895,23316,27579,84.5,53351,24490,28861,84.9,53206,24435,28771,84.9,55041,25109,29932,83.9,54880,25056,29824,84
"광주광역시","75~79세",32151,13011,19140,68,32077,12975,19102,67.9,34776,14244,20532,69.4,34711,14215,20496,69.4,38509,16167,22342,72.4,38448,16141,22307,72.4,39582,16788,22794,73.7,39528,16768,22760,73.7,39989,17076,22913,74.5,39917,17051,22866,74.6,40661,17529,23132,75.8,40590,17503,23087,75.8,40725,17838,22887,77.9,40654,17813,22841,78
"광주광역시","80~84세",18914,6399,12515,51.1,18874,6381,12493,51.1,21087,7177,13910,51.6,21054,7162,13892,51.6,22271,7798,14473,53.9,22247,7791,14456,53.9,24092,8630,15462,55.8,24057,8618,15439,55.8,25592,9477,16115,58.8,25559,9466,16093,58.8,27124,10132,16992,59.6,27090,10121,16969,59.6,28908,11017,17891,61.6,28869,11002,17867,61.6
"광주광역시","85~89세",9032,2345,6687,35.1,9019,2341,6678,35.1,10251,2660,7591,35,10238,2656,7582,35,10576,2841,7735,36.7,10565,2835,7730,36.7,11432,3127,8305,37.7,11420,3121,8299,37.6,12598,3509,9089,38.6,12582,3501,9081,38.6,13701,4008,9693,41.3,13690,4004,9686,41.3,14613,4394,10219,43,14594,4386,10208,43
"광주광역시","90~94세",2941,586,2355,24.9,2934,584,2350,24.9,3411,704,2707,26,3404,703,2701,26,3562,728,2834,25.7,3558,728,2830,25.7,3783,778,3005,25.9,3780,778,3002,25.9,4267,947,3320,28.5,4258,944,3314,28.5,4988,1078,3910,27.6,4983,1076,3907,27.5,5215,1169,4046,28.9,5210,1167,4043,28.9
"광주광역시","95~99세",610,93,517,18,606,92,514,17.9,734,96,638,15,730,95,635,15,804,109,695,15.7,803,109,694,15.7,978,148,830,17.8,977,148,829,17.9,917,141,776,18.2,915,140,775,18.1,1027,156,871,17.9,1026,156,870,17.9,1064,164,900,18.2,1062,164,898,18.3
"광주광역시","100세이상",86,X,83,3.6,86,X,83,3.6,93,6,87,6.9,93,6,87,6.9,92,8,84,9.5,92,8,84,9.5,103,8,95,8.4,103,8,95,8.4,125,10,115,8.7,125,10,115,8.7,140,10,130,7.7,140,10,130,7.7,165,16,149,10.7,165,16,149,10.7
"광주광역시","15세미만",226693,117445,109248,107.5,226056,117120,108936,107.5,219754,113741,106013,107.3,218936,113329,105607,107.3,213034,110277,102757,107.3,212168,109836,102332,107.3,206557,106687,99870,106.8,205463,106145,99318,106.9,200619,103487,97132,106.5,199068,102737,96331,106.6,194754,100309,94445,106.2,193376,99633,93743,106.3,189309,97380,91929,105.9,187624,96543,91081,106
"광주광역시","15~64세",1109980,561314,548666,102.3,1089468,549632,539836,101.8,1106805,559881,546924,102.4,1084404,547290,537114,101.9,1101244,557637,543607,102.6,1076568,543767,532801,102.1,1094913,554919,539994,102.8,1066681,539070,527611,102.2,1092791,554003,538788,102.8,1061688,536674,525014,102.2,1075310,544989,530321,102.8,1046742,529609,517133,102.4,1069636,541440,528196,102.5,1041521,526511,515010,102.2
"광주광역시","65세이상",166208,70108,96100,73,165765,69904,95861,72.9,174998,73681,101317,72.7,174516,73473,101043,72.7,181894,77208,104686,73.8,181384,76987,104397,73.7,188622,80122,108500,73.8,188115,79912,108203,73.9,196320,83797,112523,74.5,195688,83528,112160,74.5,207509,88842,118667,74.9,206882,88590,118292,74.9,216317,93268,123049,75.8,215620,92994,122626,75.8
"광주광역시","85세이상",12669,3027,9642,31.4,12645,3020,9625,31.4,14489,3466,11023,31.4,14465,3460,11005,31.4,15034,3686,11348,32.5,15018,3680,11338,32.5,16296,4061,12235,33.2,16280,4055,12225,33.2,17907,4607,13300,34.6,17880,4595,13285,34.6,19856,5252,14604,36,19839,5246,14593,35.9,21057,5743,15314,37.5,21031,5733,15298,37.5
"광주광역시","평균연령",38.4,37.4,39.5,-,38.5,37.4,39.5,-,39.1,38,40.2,-,39.1,38,40.2,-,39.6,38.5,40.7,-,39.7,38.6,40.8,-,40.1,39,41.2,-,40.2,39.1,41.4,-,40.7,39.5,41.8,-,40.8,39.7,41.9,-,41.3,40.2,42.4,-,41.4,40.3,42.6,-,41.8,40.7,42.9,-,42,40.8,43.1,-
"광주광역시","중위연령",38.7,37.7,39.8,-,38.9,37.9,40,-,39.5,38.4,40.6,-,39.7,38.6,40.8,-,40.1,38.9,41.3,-,40.4,39.2,41.5,-,40.7,39.5,41.9,-,41.1,39.9,42.2,-,41.3,40.1,42.5,-,41.7,40.5,42.9,-,42.1,40.9,43.3,-,42.4,41.2,43.6,-,42.6,41.5,43.8,-,43,41.8,44.2,-
